date,series,value
2013-05-21,TP.DK.EUR.A,2.3704
2013-05-22,TP.DK.EUR.A,2.3779
2013-05-23,TP.DK.EUR.A,2.3796
2013-05-24,TP.DK.EUR.A,2.3833
2013-05-25,TP.DK.EUR.A,
2013-05-26,TP.DK.EUR.A,
2013-05-27,TP.DK.EUR.A,2.3891
2013-05-28,TP.DK.EUR.A,2.3871
2013-05-29,TP.DK.EUR.A,2.3888
2013-05-30,TP.DK.EUR.A,2.4057
2013-05-31,TP.DK.EUR.A,2.4208
2013-06-01,TP.DK.EUR.A,
2013-06-02,TP.DK.EUR.A,
2013-06-03,TP.DK.EUR.A,2.4498
2013-06-04,TP.DK.EUR.A,2.4603
2013-06-05,TP.DK.EUR.A,2.4522
2013-06-06,TP.DK.EUR.A,2.4573
2013-06-07,TP.DK.EUR.A,2.474
2013-06-08,TP.DK.EUR.A,
2013-06-09,TP.DK.EUR.A,
2013-06-10,TP.DK.EUR.A,2.4983
2013-06-11,TP.DK.EUR.A,2.5022
2013-06-12,TP.DK.EUR.A,2.5153
2013-06-13,TP.DK.EUR.A,2.4929
2013-06-14,TP.DK.EUR.A,2.491
2013-06-15,TP.DK.EUR.A,
2013-06-16,TP.DK.EUR.A,
2013-06-17,TP.DK.EUR.A,2.4696
2013-06-18,TP.DK.EUR.A,2.488
2013-06-19,TP.DK.EUR.A,2.5083
2013-06-20,TP.DK.EUR.A,2.5198
2013-06-21,TP.DK.EUR.A,2.5327
2013-06-22,TP.DK.EUR.A,
2013-06-23,TP.DK.EUR.A,
2013-06-24,TP.DK.EUR.A,2.5508
2013-06-25,TP.DK.EUR.A,2.5426
2013-06-26,TP.DK.EUR.A,2.538
2013-06-27,TP.DK.EUR.A,2.5192
2013-06-28,TP.DK.EUR.A,2.5109
2013-06-29,TP.DK.EUR.A,
2013-06-30,TP.DK.EUR.A,
2013-07-01,TP.DK.EUR.A,2.5137
2013-07-02,TP.DK.EUR.A,2.5086
2013-07-03,TP.DK.EUR.A,2.5042
2013-07-04,TP.DK.EUR.A,2.524
2013-07-05,TP.DK.EUR.A,2.5319
2013-07-06,TP.DK.EUR.A,
2013-07-07,TP.DK.EUR.A,
2013-07-08,TP.DK.EUR.A,2.5073
2013-07-09,TP.DK.EUR.A,2.5057
2013-07-10,TP.DK.EUR.A,2.4951
2013-07-11,TP.DK.EUR.A,2.4907
2013-07-12,TP.DK.EUR.A,2.5324
2013-07-13,TP.DK.EUR.A,
2013-07-14,TP.DK.EUR.A,
2013-07-15,TP.DK.EUR.A,2.5538
2013-07-16,TP.DK.EUR.A,2.5305
2013-07-17,TP.DK.EUR.A,2.5251
2013-07-18,TP.DK.EUR.A,2.53
2013-07-19,TP.DK.EUR.A,2.5115
2013-07-20,TP.DK.EUR.A,
2013-07-21,TP.DK.EUR.A,
2013-07-22,TP.DK.EUR.A,2.5212
2013-07-23,TP.DK.EUR.A,2.5216
2013-07-24,TP.DK.EUR.A,2.5209
2013-07-25,TP.DK.EUR.A,2.5243
2013-07-26,TP.DK.EUR.A,2.5408
2013-07-27,TP.DK.EUR.A,
2013-07-28,TP.DK.EUR.A,
2013-07-29,TP.DK.EUR.A,2.5496
2013-07-30,TP.DK.EUR.A,2.5541
2013-07-31,TP.DK.EUR.A,2.5539
2013-08-01,TP.DK.EUR.A,2.5608
2013-08-02,TP.DK.EUR.A,2.5617
2013-08-03,TP.DK.EUR.A,
2013-08-04,TP.DK.EUR.A,
2013-08-05,TP.DK.EUR.A,2.5707
2013-08-06,TP.DK.EUR.A,2.5599
2013-08-07,TP.DK.EUR.A,2.5607
2013-08-08,TP.DK.EUR.A,
2013-08-09,TP.DK.EUR.A,
2013-08-10,TP.DK.EUR.A,
2013-08-11,TP.DK.EUR.A,
2013-08-12,TP.DK.EUR.A,2.5607
2013-08-13,TP.DK.EUR.A,2.5572
2013-08-14,TP.DK.EUR.A,2.5597
2013-08-15,TP.DK.EUR.A,2.5658
2013-08-16,TP.DK.EUR.A,2.5622
2013-08-17,TP.DK.EUR.A,
2013-08-18,TP.DK.EUR.A,
2013-08-19,TP.DK.EUR.A,2.5805
2013-08-20,TP.DK.EUR.A,2.5973
2013-08-21,TP.DK.EUR.A,2.6061
2013-08-22,TP.DK.EUR.A,2.6223
2013-08-23,TP.DK.EUR.A,2.6446
2013-08-24,TP.DK.EUR.A,
2013-08-25,TP.DK.EUR.A,
2013-08-26,TP.DK.EUR.A,2.6509
2013-08-27,TP.DK.EUR.A,2.668
2013-08-28,TP.DK.EUR.A,2.6989
2013-08-29,TP.DK.EUR.A,2.747
2013-08-30,TP.DK.EUR.A,
