SERIE_CODE,SERIE_NAME,START_DATE
TP.DK.CHF.C.YTL,(CHF) İsviçre Frangı (Çapraz) (USD/CHF),02-01-2002
TP.DK.CNY.C.YTL,(CNY) Çin Yuanı (Çapraz) (USD/CNY),20-03-2012
TP.DK.DKK.C.YTL,(DKK) Danimarka Kronu (Çapraz) (USD/DKK),02-01-2002
TP.DK.GBP.C.YTL,(GBP) İngiliz Sterlini (Çapraz) (GBP/USD),02-01-2002
TP.DK.IRR.C.YTL,(IRR) 100 İran Riyali (Çapraz) (USD/IRR),12-04-2010
TP.DK.JPY.C.YTL,(JPY) Japon Yeni (Çapraz) (USD/JPY),02-01-2002
TP.DK.KWD.C.YTL,(KWD) Kuveyt Dinarı (Çapraz) (KWD/USD),02-01-2002
TP.DK.NOK.C.YTL,(NOK) Norveç Kronu (Çapraz) (USD/NOK),02-01-2002
TP.DK.PKR.C.YTL,(PKR) Pakistan Rupisi (Çapraz) (USD/PKR),20-03-2012
TP.DK.QAR.A.YTL,(QAR) Katar Riyali (Döviz Alış),19-08-2013
TP.DK.QAR.C.YTL,(QAR) Katar Riyali (Çapraz) (USD/QAR),19-08-2013
TP.DK.QAR.S.YTL,(QAR) Katar Riyali (Döviz Satış),19-08-2013
TP.DK.RON.C.YTL,(RON) Rumen Leyi (Çapraz) (USD/RON),12-04-2010
TP.DK.RUB.C.YTL,(RUB) Rus Rublesi (Çapraz) (USD/RUB),12-04-2010
TP.DK.SAR.C.YTL,(SAR) S.Arabistan Riyali (Çapraz) (USD/SAR),02-01-2002
TP.DK.SEK.C.YTL,(SEK) İsveç Kronu (Çapraz) (USD/SEK),02-01-2002
TP.DK.XDR.C.YTL,(XDR) Özel Çekme Hakkı (SDR) (Çapraz) (USD/XDR),18-04-1988
TP.DK.KRW.A.YTL,(KRW) Güney Kore Wonu (Döviz Alış),23-08-2021
TP.DK.KRW.C.YTL,(KRW) Güney Kore Wonu (Çapraz) (USD/KRW),23-08-2021
TP.DK.KRW.S.YTL,(KRW) Güney Kore Wonu (Döviz Satış),23-08-2021
TP.DK.AED.A.YTL,(AED) Birleşik Arap Emirlikleri Dirhemi (Döviz Alış),21-12-2021
TP.DK.AED.S.YTL,(AED) Birleşik Arap Emirlikleri Dirhemi (Döviz Satış),21-12-2021
TP.DK.AED.C.YTL,(AED) Birleşik Arap Emirlikleri Dirhemi (Çapraz) (USD/AED),21-12-2021
TP.DK.AZN.A.YTL,(AZN) Azerbaycan Yeni Manatı (Döviz Alış),22-12-2021
TP.DK.AZN.S.YTL,(AZN) Azerbaycan Yeni Manatı (Döviz Satış),22-12-2021
TP.DK.AZN.C.YTL,(AZN) Azerbaycan Yeni Manatı (Çapraz) (USD/AZN),22-12-2021
